Molson Coors Beverage Company;TAP;Estados Unidos
Mondelez International;MDLZ;Estados Unidos
Monolithic Power Systems;MPWR;Estados Unidos
Monster Beverage;MNST;Estados Unidos
Moody's Corporation;MCO;Estados Unidos
Morgan Stanley;MS;Estados Unidos
Mosaic Company (The);MOS;Estados Unidos
Motorola Solutions;MSI;Estados Unidos
MSCI;MSCI;Estados Unidos
Nasdaq, Inc.;NDAQ;Estados Unidos
NetApp;NTAP;Estados Unidos
Newmont;NEM;Estados Unidos
News Corp (Class A);NWSA;Estados Unidos
News Corp (Class B);NWS;Estados Unidos
NextEra Energy;NEE;Estados Unidos
NiSource;NI;Estados Unidos
Nordson Corporation;NDSN;Estados Unidos
Norfolk Southern Railway;NSC;Estados Unidos
Northern Trust;NTRS;Estados Unidos
Northrop Grumman;NOC;Estados Unidos
Norwegian Cruise Line Holdings;NCLH;Estados Unidos
NRG Energy;NRG;Estados Unidos
Nucor;NUE;Estados Unidos
NVR, Inc.;NVR;Estados Unidos
NXP Semiconductors;NXPI;Estados Unidos
O'Reilly Auto Parts;ORLY;Estados Unidos
Occidental Petroleum;OXY;Estados Unidos
Old Dominion;ODFL;Estados Unidos
Omnicom Group;OMC;Estados Unidos
ON Semiconductor;ON;Estados Unidos
ONEOK;OKE;Estados Unidos
Otis Worldwide;OTIS;Estados Unidos
Paccar;PCAR;Estados Unidos
Packaging Corporation of America;PKG;Estados Unidos
Palantir Technologies;PLTR;Estados Unidos
Palo Alto Networks;PANW;Estados Unidos
Paramount Global;PARA;Estados Unidos
Parker Hannifin;PH;Estados Unidos
Paychex;PAYX;Estados Unidos
Paycom;PAYC;Estados Unidos
PayPal;PYPL;Estados Unidos
Pentair;PNR;Estados Unidos
PepsiCo;PEP;Estados Unidos
PG&E Corporation;PCG;Estados Unidos
Phillips 66;PSX;Estados Unidos
Pinnacle West;PNW;Estados Unidos
PNC Financial Services;PNC;Estados Unidos
Pool Corporation;POOL;Estados Unidos
PPG Industries;PPG;Estados Unidos
PPL Corporation;PPL;Estados Unidos
Principal Financial Group;PFG;Estados Unidos
Progressive Corporation;PGR;Estados Unidos
Prologis;PLD;Estados Unidos
Prudential Financial;PRU;Estados Unidos
Public Service Enterprise Group;PEG;Estados Unidos
PTC Inc.;PTC;Estados Unidos
Public Storage;PSA;Estados Unidos
PulteGroup;PHM;Estados Unidos
Quanta Services;PWR;Estados Unidos
Quest Diagnostics;DGX;Estados Unidos
Ralph Lauren Corporation;RL;Estados Unidos
Raymond James Financial;RJF;Estados Unidos
RTX Corporation;RTX;Estados Unidos
Realty Income;O;Estados Unidos
Regency Centers;REG;Estados Unidos
Regeneron Pharmaceuticals;REGN;Estados Unidos
Regions Financial Corporation;RF;Estados Unidos
Republic Services;RSG;Estados Unidos
ResMed;RMD;Estados Unidos
Revvity;RVTY;Estados Unidos
Rockwell Automation;ROK;Estados Unidos
Rollins, Inc.;ROL;Estados Unidos
Roper Technologies;ROP;Estados Unidos
Ross Stores;ROST;Estados Unidos
Royal Caribbean Group;RCL;Estados Unidos
S&P Global;SPGI;Estados Unidos
SBA Communications;SBAC;Estados Unidos
Schlumberger;SLB;Estados Unidos
Seagate Technology;STX;Estados Unidos
Sempra;SRE;Estados Unidos
ServiceNow;NOW;Estados Unidos
Sherwin-Williams;SHW;Estados Unidos
Simon Property Group;SPG;Estados Unidos
Skyworks Solutions;SWKS;Estados Unidos
J.M. Smucker Company (The);SJM;Estados Unidos
Smurfit WestRock;SW;Estados Unidos
Snap-on;SNA;Estados Unidos
Solventum;SOLV;Estados Unidos
Southern Company;SO;Estados Unidos
Southwest Airlines;LUV;Estados Unidos
Stanley Black & Decker;SWK;Estados Unidos
Starbucks;SBUX;Estados Unidos
State Street Corporation;STT;Estados Unidos
Steel Dynamics;STLD;Estados Unidos
Steris;STE;Estados Unidos
Stryker Corporation;SYK;Estados Unidos
Supermicro;SMCI;Estados Unidos
Synchrony Financial;SYF;Estados Unidos
Synopsys;SNPS;Estados Unidos
Sysco;SYY;Estados Unidos
T-Mobile US;TMUS;Estados Unidos
T. Rowe Price;TROW;Estados Unidos
Take-Two Interactive;TTWO;Estados Unidos
Tapestry, Inc.;TPR;Estados Unidos
Targa Resources;TRGP;Estados Unidos
Target Corporation;TGT;Estados Unidos
TE Connectivity;TEL;Estados Unidos
Teledyne Technologies;TDY;Estados Unidos
Teleflex;TFX;Estados Unidos
Teradyne;TER;Estados Unidos
Tesla, Inc.;TSLA;Estados Unidos
Texas Pacific Land Corporation;TPL;Estados Unidos
Textron;TXT;Estados Unidos
TJX Companies;TJX;Estados Unidos
Tractor Supply;TSCO;Estados Unidos
Trane Technologies;TT;Estados Unidos
TransDigm Group;TDG;Estados Unidos
Travelers Companies (The);TRV;Estados Unidos
Trimble Inc.;TRMB;Estados Unidos
Truist Financial;TFC;Estados Unidos
Tyler Technologies;TYL;Estados Unidos
Tyson Foods;TSN;Estados Unidos
U.S. Bancorp;USB;Estados Unidos
Uber;UBER;Estados Unidos
UDR, Inc.;UDR;Estados Unidos
Ulta Beauty;ULTA;Estados Unidos
United Airlines Holdings;UAL;Estados Unidos
United Rentals;URI;Estados Unidos
Universal Health Services;UHS;Estados Unidos
Valero Energy;VLO;Estados Unidos
Ventas;VTR;Estados Unidos
Veralto;VLTO;Estados Unidos
Verisign;VRSN;Estados Unidos
